Trans. date,Post date,Description,Amount,Category
6/11/24,6/11/24,SQ *ANALOG SISTER BAY SISTER BAY WI0002305843019932254575,$18.98,Restaurants
6/11/24,6/11/24,SQ *DOOR COUNTY CUSTOM STURGEON BAY WI0002305843019927909260,$25.00,Travel/ Entertainment
6/11/24,6/11/24,SQ *LITTLE HARBOR DESI STURGEON BAY WI0002305843019928329644,$42.20,Merchandise
6/11/24,6/11/24,SQ *STURGEON BAY STURGEON BAY WI0002305843019928263638,$25.32,Supermarkets
6/11/24,6/11/24,SQ *SULLY'S PRODUCE LL STURGEON BAY WI0002305843019927861874,$10.00,Supermarkets
6/11/24,6/11/24,TST* SOLAGO SISTER BAY WI00113337018235956705AA,$84.00,Restaurants
6/12/24,6/12/24,EDGEWOOD ORCHARD GALLERI FISH CREEK WI,$41.16,Merchandise
6/12/24,6/12/24,GRUMPYS EGG HARBOR WI,$5.54,Supermarkets
6/12/24,6/12/24,GRUMPYS EGG HARBOR WI,$8.91,Supermarkets
6/12/24,6/12/24,SQ *ANCHORED ROOTS VIN EGG HARBOR WI0002305843019936950262,$63.03,Merchandise
6/12/24,6/12/24,SQ *NAN & JERRY'S DOOR EGG HARBOR WI0002305843019937069849,$22.13,Merchandise
6/12/24,6/12/24,SQ *NOT LICKED YET FRO FISH CREEK WI0002305843019938311475,$12.40,Restaurants
6/12/24,6/12/24,TST* CASEYS BBQ & SMOK EGG HARBOR WI00136237018251000329AA,$73.46,Restaurants
6/12/24,6/12/24,TST* JULIES PARK CAFE FISH CREEK WI,$46.13,Restaurants
6/13/24,6/13/24,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
6/13/24,6/13/24,SQ *BLUE HORSE BEACH C FISH CREEK WI0002305843019939572936,$36.12,Restaurants
6/13/24,6/13/24,"SQ *BOOKMAN HOLDINGS, FISH CREEK WI0002305843019940120053",$23.73,Merchandise
6/13/24,6/13/24,SQ *SARA'S ARTISAN GEL FISH CREEK WI0002305843019946516257,$18.69,Supermarkets
6/13/24,6/13/24,THYME RESTAURANT & CATER SISTER BAY WI,$103.42,Restaurants
6/14/24,6/14/24,88NINE RADIO MILWAUKEE 4148927928 WI,$15.00,Services
6/14/24,6/14/24,CKE*DOOR COUNTY ICE CREA SISTER BAY WI,$11.17,Restaurants
6/14/24,6/14/24,DOOR COUNTY CANDY STURGEON BAY WI,$14.66,Merchandise
6/14/24,6/14/24,SQ *CLARIO FARMSTEAD P STURGEON BAY WI0002305843019952730267,$10.00,Supermarkets
6/14/24,6/14/24,SQ *FIKA OF FISH CREEK FISH CREEK WI0002305843019949108125,$34.27,Merchandise
6/14/24,6/14/24,SQ *GRASSE?S GRILL SISTER BAY WI0002305843019956218144,$58.08,Restaurants
6/14/24,6/14/24,SQ *NOVEL BAY BOOKSELL STURGEON BAY WI0002305843019953379615,$13.70,Merchandise
6/14/24,6/14/24,THE FARM INC STURGEON BAY WI,$39.98,Travel/ Entertainment
6/14/24,6/14/24,THE FARM INC STURGEON BAY WI,$50.00,Travel/ Entertainment
6/14/24,6/14/24,TST* THE GNOSHERY STURGEON BAY WI00039994018284790849AA,$39.16,Restaurants
6/15/24,6/15/24,CULVERS OF SHEBOYGAN 385 SHEBOYGAN WI,$26.55,Restaurants
6/15/24,6/15/24,REI #60 BROOKFIELD BROOKFIELD WI2400120600071738,$190.05,Merchandise
6/15/24,6/15/24,RENARDS CHEESE STURGEON BAY WI,$104.89,Merchandise
6/15/24,6/15/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,$48.30,Supermarkets
6/15/24,6/15/24,TST* JULIES PARK CAFE FISH CREEK WI00096547018308067714AA,$57.33,Restaurants
6/16/24,6/16/24,JULIES PARK CAFE & MOTEL FISH CREEK WI,$227.00,Travel/ Entertainment
6/16/24,6/16/24,SENDIK'S ELM GROVE ELM GROVE WI,$21.18,Supermarkets
6/19/24,6/19/24,5-365 FOOD SERVICE TROY MI,5.25,Restaurants
6/19/24,6/19/24,LS CREAM CITY YARN 2629237014 WI,35.6,Merchandise
6/19/24,6/19/24,SP POCO PIZZA 9209482878 WIAPPLE PAY ENDING IN 7049,110,Supermarkets
6/19/24,6/19/24,TST* BRIDGEWATER MILWAUKEE WI00098237018380361591AA,67.1,Restaurants
6/20/24,6/20/24,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
6/20/24,6/20/24,PANERA BREAD #606249 O 855-372-6372 WIAPPLE PAY ENDING IN 70496051715742903218,32.81,Restaurants
6/21/24,6/21/24,5-365 FOOD SERVICE TROY MI,4.68,Restaurants
6/21/24,6/21/24,PF CHANGS #9913 OLO 111-111-1111 WI,55.54,Restaurants
6/21/24,6/21/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,17.41,Supermarkets
6/22/24,6/22/24,COLECTIVO COFFEE ROAST 4142733747 WIAPPLE PAY ENDING IN 7049,10.71,Supermarkets
6/22/24,6/22/24,PP*LOVE YOUR FACE SKINCA WAUWATOSA WI,207,Services
6/22/24,6/22/24,SPECTRUM 855-707-7328 MORC1008309513,71.99,Services
6/23/24,6/23/24,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,23.42,Restaurants
6/23/24,6/23/24,PAYPAL *OOFOS LLC 888-221-1161 CA,47.64,Merchandise
6/23/24,6/23/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,51.66,Supermarkets
6/23/24,6/23/24,SP ORO DI OLIVA 4143134665 WIAPPLE PAY ENDING IN 7049,20,Supermarkets
6/24/24,6/24/24,MED*FROEDTERT HEALTH I 800-803-8155 WI263302592,26.74,Medical Services
6/24/24,6/24/24,TODDYCAFE.COM 9704930788 CO,37.29,Merchandise
6/25/24,6/25/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
6/25/24,6/25/24,PAYPAL *HULU 888-221-1161 CA,8.62,Services
6/26/24,6/26/24,5-365 FOOD SERVICE TROY MI,3.62,Restaurants
6/26/24,6/26/24,CHICK-FIL-A #03252 2623730609 WIAPPLE PAY ENDING IN 7049,28.76,Restaurants
6/27/24,6/27/24,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
6/27/24,6/27/24,TST* MISS MOLLYS CAFE 414-249-5665 WIAPPLE PAY ENDING IN 704900037390018543850162AA,14.27,Restaurants
6/28/24,6/28/24,GILLES FROZEN CUSTARD MILWAUKEE WI,45.3,Restaurants
6/29/24,6/29/24,ROSEBUD CINEMA DRAFTHOUS MILWAUKEE WI,20,Travel/ Entertainment
6/29/24,6/29/24,ROSEBUD CINEMA DRAFTHOUS MILWAUKEE WI,23,Travel/ Entertainment
6/29/24,6/29/24,RUCKUS & GLEE 4143953201 WI,33.87,Merchandise
6/30/24,6/30/24,COLECTIVO COFFEE ROAST 4142733747 WIAPPLE PAY ENDING IN 7049,28.84,Supermarkets
6/30/24,6/30/24,GIRL SCOUTS OF THE USA 212-852-6587 NY,25,Services
6/30/24,6/30/24,GS WISCONSIN SOUTHEAST 800-565-4475 WI,25,Services
6/30/24,6/30/24,PAYPAL *NOURISHNATU 888-221-1161 CA,40.23,Merchandise
6/30/24,6/30/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,28.84,Supermarkets
6/30/24,6/30/24,WAUWATOSA ACE HARDWARE WAUWATOSA WI,72.37,Home Improvement
7/1/24,7/1/24,CHIPOTLE ONLINE 949-524-4000 CA,25.99,Restaurants
7/1/24,7/1/24,PAYMENT - THANK YOU,"-7,229.08",Payments and Credits
7/2/24,7/2/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
7/2/24,7/2/24,WAUWATOSA SCHOOL OF MUSI WAUWATOSA WI,108,Services
7/3/24,7/3/24,5-365 FOOD SERVICE TROY MI,0.92,Restaurants
7/3/24,7/3/24,COLECTIVO COFFEE ROAST 4142733747 WIAPPLE PAY ENDING IN 7049,9.18,Supermarkets
7/3/24,7/3/24,FRIENDS OF NATURE MENOMONEE FALWI,66.14,Merchandise
7/3/24,7/3/24,ORDER.NOODLES.COM 2122600895 COAPPLE PAY ENDING IN 7049,34.31,Restaurants
7/5/24,7/5/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,131.39,Services
7/5/24,7/5/24,IL TOLLWAY-WEB 630-241-6800 IL,20,Travel/ Entertainment
7/5/24,7/5/24,ITR CONCESSION COMPANY L ELKHART IN,4.8,Travel/ Entertainment
7/5/24,7/5/24,MCDONALD'S F28956 SOUTH HOLLANDIL,20.8,Restaurants
7/5/24,7/5/24,MICROSOFT G052216877 REDMOND WA,13.24,Merchandise
7/5/24,7/5/24,PANDA EXPRESS 1043 SOUTH HOLLANDIL,12.05,Restaurants
7/6/24,7/6/24,5-365 FOOD SERVICE TROY MI,4.31,Restaurants
7/6/24,7/6/24,FIVE GUYS IN 497 QSR SOUTH BEND IN,31.56,Restaurants
7/6/24,7/6/24,HAMMES NOTRE DAME BK ECK NOTRE DAME IN,133.66,Merchandise
7/6/24,7/6/24,ORDER.NOODLES.COM 2122600895 COAPPLE PAY ENDING IN 7049,10.43,Restaurants
7/6/24,7/6/24,SQ *MILWAUKEE ELECTRIC GOSQ.COM WI0002305843020117893926,165.13,Home Improvement
7/7/24,7/7/24,ITR CONCESSION COMPANY L ELKHART IN,4.8,Travel/ Entertainment
7/7/24,7/7/24,IVY COURT INN AND SUIT SOUTH BEND IN,319.7,Travel/ Entertainment
7/7/24,7/7/24,MICHAELS STORES 6709 BROOKFIELD WI6709005318882407071538,39.82,Merchandise
7/7/24,7/7/24,SENDIK'S ELM GROVE ELM GROVE WIAPPLE PAY ENDING IN 3896,130.42,Supermarkets
7/7/24,7/7/24,TST* HEIRLOOM MKE BAY VIEW WI00143608018748538132AA,132.74,Restaurants
7/8/24,7/8/24,SQ *TREE-RIPE FRUIT CO MILWAUKEE WI0002305843020132934238,46,Supermarkets
7/9/24,7/9/24,5-365 FOOD SERVICE TROY MI,2.33,Restaurants
7/9/24,7/9/24,CULVERS 2122600895 WI,18.88,Restaurants
7/9/24,7/9/24,EVERVET WAUWATOSA WI,240.8,Services
7/9/24,7/9/24,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
7/10/24,7/10/24,5-365 FOOD SERVICE TROY MI,0.75,Restaurants
7/11/24,7/11/24,PANERA BREAD #606249 O 855-372-6372 WIAPPLE PAY ENDING IN 70496051715749570583,36.07,Restaurants
7/11/24,7/11/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,5.38,Supermarkets
7/11/24,7/11/24,SOMMER'S INC. MEQUON WI6075611,859.56,Automotive
7/12/24,7/12/24,5-365 FOOD SERVICE TROY MI,2.27,Restaurants
7/12/24,7/12/24,SQ *HAPPY BUDDHA BOUTI WAUWATOSA WI0002305843020161610068,62.36,Supermarkets
7/12/24,7/12/24,SQ *JOY ICE CREAM SOCI WAUWATOSA WI0002305843020162924341,0.37,Supermarkets
7/12/24,7/12/24,SQ *JOY ICE CREAM SOCI WAUWATOSA WI0002305843020162916833,13.39,Supermarkets
7/12/24,7/12/24,TST* MAXIES MILWAUKEE WI00091948018836234915AA,35.31,Restaurants
7/13/24,7/13/24,5-365 FOOD SERVICE TROY MI,4.26,Restaurants
7/13/24,7/13/24,NAIL DESIGNS WAUWATOSA WI,78,Services
7/13/24,7/13/24,SQ *HAPPY BUDDHA BOUTI WAUWATOSA WI0002305843020167084420,86.65,Supermarkets
7/13/24,7/13/24,SQ *VALENTINE COFFEE C WAUWATOSA WI0002305843020164201329,34,Restaurants
7/13/24,7/13/24,SULLIVAN JEWELERS BROOKFIELD WI01366P,168,Merchandise
7/13/24,7/13/24,TST* MISS MOLLYS CAFE MILWAUKEE WI00037390018856099983AA,26.43,Restaurants
7/14/24,7/14/24,88NINE RADIO MILWAUKEE 4148927928 WI,15,Services
7/14/24,7/14/24,BL - OPEN HEARTH LODGE SISTER BAY WI,952.79,Travel/ Entertainment
7/14/24,7/14/24,CHEF'S HAT CAFE EPHRAIM WI,83.01,Restaurants
7/14/24,7/14/24,CULVERS OF SHEBOYGAN 513 SHEBOYGAN WI,25.91,Restaurants
7/14/24,7/14/24,ZOOLOGICAL SOCIETY OF MI 4142582333 WI,61.8,Services
7/15/24,7/15/24,FH* DOOR COUNTY TROLLE 8554955551 WIAPPLE PAY ENDING IN 7049,107.99,Travel/ Entertainment
7/15/24,7/15/24,JENNIE BEXELL 9208574185 WI,72.1,Merchandise
7/15/24,7/15/24,SQ *GRASSE?S GRILL SISTER BAY WI0002305843020183504928,65.2,Restaurants
7/15/24,7/15/24,SQ *THE VAULT DOOR COU ELLISON BAY WI0002305843020181939996,41.03,Supermarkets
7/15/24,7/15/24,THE CLEARING ELLISON BAY WI,62.72,Education
7/15/24,7/15/24,TST* BLUE BEAR- ELLISO ELLISON BAY WI00088318018902385707AA,100.9,Restaurants
7/16/24,7/16/24,LS ALPACA TO APPAREL 9205361394 WI,109.67,Merchandise
7/16/24,7/16/24,SKYWAY DRIVE IN THEATRE FISH CREEK WI,27.04,Travel/ Entertainment
7/16/24,7/16/24,SQ *SIP & SPOT HOME SISTER BAY WI0002305843020187207373,76.24,Merchandise
7/17/24,7/17/24,CONFECTIONERY SISTER B SISTER BAY WI01724P,19.11,Merchandise
7/17/24,7/17/24,SQ *DOOR COUNTY TROLLE EGG HARBOR WI0002305843020193687708,33.72,Supermarkets
7/17/24,7/17/24,SQ *NOT LICKED YET FRO FISH CREEK WI0002305843020195627263,16.56,Restaurants
7/17/24,7/17/24,SQ *RED PUTTER MINI GO EPHRAIM WI0002305843020195356275,15,Travel/ Entertainment
7/17/24,7/19/24,SHIPWRECKED BREW PUB EGG HARBOR WI,62.02,Restaurants
7/17/24,7/19/24,TST* HUSBYS FOOD AND S SISTER BAY WI00129458018937575831AA,82.34,Restaurants
7/18/24,7/19/24,MAIN ST MARKET #175SSS EGG HARBOR WI,16.19,Supermarkets
7/18/24,7/19/24,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
7/18/24,7/19/24,SQ *CRAIN'S KITCHEN SISTER BAY WI0002305843020198584339,40.32,Restaurants
7/18/24,7/19/24,THE THIRSTY COW TAPHOUSE BAILEYS HARBOWI,74.39,Restaurants
7/19/24,7/19/24,PHOENIX BOOKSTORE #2087 GREEN BAY WIAPPLE PAY ENDING IN 3896,84.02,Merchandise
7/19/24,7/19/24,RENARDS CHEESE STURGEON BAY WI,75.88,Merchandise
7/19/24,7/19/24,THE MAIN COURSE FISH CREEK WI,47.48,Merchandise
7/20/24,7/20/24,SENDIK'S ELM GROVE ELM GROVE WIAPPLE PAY ENDING IN 3896,30.72,Supermarkets
7/20/24,7/20/24,SONNYS ITALIAN KITCHEN & STURGEON BAY WI,53,Restaurants
7/20/24,7/20/24,TST* BLUES EGG MILWAUKEE WI00091966018994174955AA,12.52,Restaurants
7/22/24,7/22/24,DINING TROY MI,2.89,Restaurants
7/22/24,7/22/24,INNLET MOTEL STURGEON BAY WI,214.52,Travel/ Entertainment
7/22/24,7/22/24,NIC*DUPLICATEDRLICENSE 608-266-7587 WI,36.85,Government Services
7/22/24,7/22/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,38.32,Supermarkets
7/22/24,7/22/24,SPECTRUM 855-707-7328 MORC700850048,71.99,Services
7/22/24,7/22/24,WAUWATOSA PUBLIC LIBRA WAUWATOSA WI,1.35,Government Services
7/23/24,7/23/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
7/24/24,7/24/24,5-365 FOOD SERVICE TROY MI,3,Restaurants
7/24/24,7/24/24,CULVERS 2122600895 WI,26.63,Restaurants
7/25/24,7/25/24,MILTOWN EATS LLC 4144349799 WI,55,Supermarkets
7/25/24,7/25/24,PAYPAL *HULU 888-221-1161 CA,8.62,Services
7/25/24,7/25/24,SALON MARIE LLC HALES CORNERSWI,34,Services
7/25/24,7/25/24,SQ *LUSH POPCORN LLC MILWAUKEE WI0002305843020249883185,38.61,Supermarkets
7/26/24,7/26/24,CAFE HOLLANDER W STATE 414-475-6771 WI,47.17,Restaurants
7/27/24,7/27/24,5-365 FOOD SERVICE TROY MI,3.73,Restaurants
7/29/24,7/29/24,#492028TOPPIZTOSA 4142574002 WI,17.32,Restaurants
7/29/24,7/29/24,ZOOLOGICAL SOCIETY OF MI MILWAUKEE WI,380,Services
7/30/24,7/30/24,5-365 FOOD SERVICE TROY MI,3.34,Restaurants
7/30/24,7/30/24,ASIAN BUFFET & GRILL MENOMONEE FALWI,17.45,Restaurants
7/30/24,7/30/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
7/30/24,7/30/24,PAYMENT - THANK YOU,"-6,500",Payments and Credits
8/1/24,8/1/24,EXXONMOBIL WAUWATOSA WI,25.7,Gasoline
8/2/24,8/2/24,5-365 FOOD SERVICE TROY MI,3.64,Restaurants
8/2/24,8/2/24,FAZOLIS 2122600895 WIAPPLE PAY ENDING IN 7049,20.51,Restaurants
8/2/24,8/2/24,WAUWATOSA SCHOOL OF MUSI WAUWATOSA WI,108,Services
8/3/24,8/3/24,5-365 FOOD SERVICE TROY MI,1,Restaurants
8/3/24,8/3/24,5-365 FOOD SERVICE TROY MI,2.97,Restaurants
8/3/24,8/3/24,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,25,Supermarkets
8/4/24,8/4/24,COLECTIVO COFFEE ROAST 4142733747 WIAPPLE PAY ENDING IN 7049,10.71,Supermarkets
8/4/24,8/4/24,SENDIK'S HALES CORNERS HALES CORNERSWI,59.07,Supermarkets
8/4/24,8/4/24,TST*MILKMEN CONCESSION FRANKLIN WI00025436019304832707AA,6.23,Restaurants
8/4/24,8/4/24,TST*MILKMEN CONCESSION FRANKLIN WI00025436019303504270AA,9.33,Restaurants
8/5/24,8/5/24,CULVERS BROOKFIELD WEST PEWAUKEE WI,16.67,Restaurants
8/5/24,8/5/24,ETC MINN CAFE MINNEAPOLIS MN,15.4,Restaurants
8/5/24,8/5/24,MICROSOFT#G054626458 MSBILL.INFO WA,13.24,Merchandise
8/6/24,8/6/24,5-365 FOOD SERVICE TROY MI,1.92,Restaurants
8/6/24,8/6/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
8/6/24,8/6/24,JIMMY JOHNS - 1100 - E GERMANTOWN WI,198.29,Restaurants
8/6/24,8/6/24,WENDY'S #025 WAUWATOSA WI,19.45,Restaurants
8/7/24,8/7/24,TST*HELLS KITCHEN - MI MINNEAPOLIS MN00009283019355979168AA,16.46,Restaurants
8/7/24,8/7/24,TST*HELLS KITCHEN - MI MINNEAPOLIS MN00009283019355840158AA,44.33,Restaurants
8/7/24,8/7/24,TT* METROTRANS AUG04 4159186628 CAAPPLE PAY ENDING IN 7049,2,Travel/ Entertainment
8/8/24,8/8/24,5-365 FOOD SERVICE TROY MI,1.74,Restaurants
8/8/24,8/8/24,AMTRAK MIDWEST CAFE Q12 WASHINGTON DCAPPLE PAY ENDING IN 3896,7.75,Restaurants
8/8/24,8/8/24,ELLIOT PARK HOTEL AUTOGR MINNEAPOLIS MN,43.15,Travel/ Entertainment
8/8/24,8/8/24,GILLES FROZEN CUSTARD MILWAUKEE WI,28.54,Restaurants
8/8/24,8/8/24,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
8/8/24,8/8/24,TST*GRAY FOX COFFEE & MINNEAPOLIS MN00058229019366710116AA,5.64,Restaurants
8/8/24,8/8/24,TST*GRAY FOX COFFEE & MINNEAPOLIS MN00058229019366639495AA,15.58,Restaurants
8/9/24,8/9/24,LEGACY GYM MKE 262-989-6696 WI,95,Travel/ Entertainment
8/9/24,8/9/24,METCALFE'S MARKET WAUWATOSA WI,63.45,Supermarkets
8/9/24,8/9/24,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,38.03,Supermarkets
8/10/24,8/10/24,5-365 FOOD SERVICE TROY MI,4.26,Restaurants
8/10/24,8/10/24,5-365 FOOD SERVICE TROY MI,5.21,Restaurants
8/10/24,8/10/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,12.87,Supermarkets
8/10/24,8/10/24,TST*BLUES EGG MILWAUKEE WI00091966019410897848AA,21,Restaurants
8/11/24,8/11/24,SSA MILWAUKEE COUNTY ZOO MILWAUKEE WI,29.25,Merchandise
8/11/24,8/11/24,TT* METROTRANS AUG08 4159186628 CAAPPLE PAY ENDING IN 7049,2.5,Travel/ Entertainment
8/12/24,8/12/24,WINGZONE 2122600895 WIAPPLE PAY ENDING IN 7049,29.73,Restaurants
8/13/24,8/13/24,5-365 FOOD SERVICE TROY MI,1.1,Restaurants
8/13/24,8/13/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
8/13/24,8/13/24,TST*MISS MOLLYS CAFE & 414-249-5665 WIAPPLE PAY ENDING IN 704900037390019473188308AA,22.21,Restaurants
8/14/24,8/14/24,365 MARKET K 888 432-329 TROY MI,1.71,Restaurants
8/14/24,8/14/24,5-365 FOOD SERVICE TROY MI,3,Restaurants
8/14/24,8/14/24,88NINE RADIO MILWAUKEE 4148927928 WI,15,Services
8/14/24,8/14/24,"CRM WEB SOLUTIONS, LLC MOMENTPATH.COTX",61.84,Education
8/14/24,8/14/24,LEGACY GYM MKE 262-989-6696 WI,250,Travel/ Entertainment
8/15/24,8/15/24,5-365 FOOD SERVICE TROY MI,4.01,Restaurants
8/15/24,8/15/24,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
8/16/24,8/16/24,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,20.88,Restaurants
8/17/24,8/17/24,SQ *BE BEAUTY EGG HARBOR WI0002305843020410601803,64.25,Merchandise
8/17/24,8/17/24,SQ *DOOR COUNTY VINTAG EGG HARBOR WI0002305843020410914556,11.5,Merchandise
8/17/24,8/17/24,SQ *SWAY BREWING BLE BAILEYS HARBOWI0002305843020406345677,18.99,Restaurants
8/17/24,8/17/24,SQ *SWAY BREWING BLE BAILEYS HARBOWI0002305843020405883965,44.59,Restaurants
8/17/24,8/19/24,DOOR COUNTY SUNGLASS EGG HARBOR WI,73.32,Medical Services
8/17/24,8/19/24,THE THIRSTY COW TAPHOUSE BAILEYS HARBOWI,375,Restaurants
8/18/24,8/19/24,EDGE OF PARK RENTALS LLC FISH CREEK WI,54.86,Travel/ Entertainment
8/18/24,8/19/24,SQ *KNIT WHIT'S YARN & BAILEYS HARBOWI0002305843020417274524,29.59,Merchandise
8/18/24,8/19/24,THE CANDY BAR DOOR COUN BAILEYS HBR WI,15.64,Merchandise
8/18/24,8/19/24,TRILLIUM HERBAL COMPAN 9207465207 WI,41.15,Merchandise
8/18/24,8/19/24,TST*JULIES PARK CAFE FISH CREEK WI00096547019579354766AA,180.76,Restaurants
8/18/24,8/19/24,WALLYS WEENIE WAGON ELLISON BAY WI,22,Restaurants
8/19/24,8/19/24,RAY'S WINE AND SPIRITS WAUWATOSA WIAPPLE PAY ENDING IN 3896,10.58,Merchandise
8/19/24,8/19/24,RENARDS CHEESE STURGEON BAY WI,57.09,Merchandise
8/19/24,8/19/24,RENARDS CHEESE STURGEON BAY WI,57.5,Merchandise
8/19/24,8/19/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,46.02,Supermarkets
8/20/24,8/20/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
8/20/24,8/20/24,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,10.44,Restaurants
8/21/24,8/21/24,5-365 FOOD SERVICE TROY MI,2.91,Restaurants
8/21/24,8/21/24,CULVERS BROOKFIELD WEST PEWAUKEE WI,7.34,Restaurants
8/21/24,8/21/24,MURFSFROZENCUSTARDONLINE BROOKFIELD WI,34.34,Restaurants
8/22/24,8/22/24,5-365 FOOD SERVICE TROY MI,1.87,Restaurants
8/22/24,8/22/24,LEGACY GYM MKE 262-989-6696 WI,165,Travel/ Entertainment
8/22/24,8/22/24,SPECTRUM 855-707-7328 MORC1050905953,71.99,Services
8/23/24,8/23/24,5-365 FOOD SERVICE TROY MI,4.03,Restaurants
8/23/24,8/23/24,CAFE HOLLANDER W STATE 414-475-6771 WI,19.97,Restaurants
8/23/24,8/23/24,CULVERS BROOKFIELD WEST PEWAUKEE WI,19.82,Restaurants
8/23/24,8/23/24,TST*MISS MOLLYS CAFE & 414-249-5665 WIAPPLE PAY ENDING IN 704900037390019666605606AA,19.74,Restaurants
8/24/24,8/24/24,AMC 0858 MAYFAIR MALL WAUWATOSA WI,38.09,Travel/ Entertainment
8/24/24,8/24/24,RAY'S WINE AND SPIRITS WAUWATOSA WIAPPLE PAY ENDING IN 3896,74.44,Merchandise
8/24/24,8/24/24,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 3896,49.77,Supermarkets
8/24/24,8/24/24,SQ *THE FLANNEL FOX MILWAUKEE WI0002305843020453276058,68.84,Merchandise
8/25/24,8/25/24,METRO MARKET #876 GLENDALE WI,32.78,Supermarkets
8/25/24,8/25/24,PAYPAL *EXPRESSSCRI 888-221-1161 CA,25,Merchandise
8/25/24,8/25/24,PAYPAL *HULU 888-221-1161 CA,8.62,Services
8/25/24,8/25/24,PAYPAL *OLD NAVY 888-221-1161 CA,48.71,Merchandise
8/25/24,8/25/24,PAYPAL *THIRDLOVE 888-221-1161 CA,128.14,Merchandise
8/25/24,8/25/24,SSA MILWAUKEE COUNTY ZOO MILWAUKEE WI,5.95,Merchandise
8/25/24,8/25/24,SSA MILWAUKEE COUNTY ZOO MILWAUKEE WI,8.12,Merchandise
8/26/24,8/26/24,PAYPAL *LANDSENDINC 888-221-1161 CA,31.82,Merchandise
8/27/24,8/27/24,365 MARKET K 888 432-329 TROY MI,1.4,Restaurants
8/27/24,8/27/24,5-365 FOOD SERVICE TROY MI,4,Restaurants
8/27/24,8/27/24,CENTRAL BARK-BROOKFIELD 262-781-5554 WI,10.51,Services
8/27/24,8/27/24,GIRLS ON THE RUN 2622243969 WI,180.52,Services
8/27/24,8/27/24,PANERA BREAD #601546 O 414-281-9999 WIAPPLE PAY ENDING IN 70496051715774552600,31.44,Restaurants
8/27/24,8/27/24,PAYMENT - THANK YOU,"-4,000",Payments and Credits
8/28/24,8/28/24,5-365 FOOD SERVICE TROY MI,2.43,Restaurants
8/28/24,8/28/24,5-365 FOOD SERVICE TROY MI,3.11,Restaurants
8/28/24,8/28/24,DAVESHOTCHICKEN 2122600895 WI,25.59,Restaurants
8/28/24,8/28/24,POCO PIZZA 9209482878 WIAPPLE PAY ENDING IN 7049,122.25,Supermarkets
8/28/24,8/30/24,PAYPAL *OLD NAVY 4029357733 CA,-24.36,Payments and Credits
8/29/24,8/29/24,MILTOWN EATS LLC 4144349799 WI,50,Supermarkets
8/29/24,8/29/24,SALON MARIE LLC HALES CORNERSWI,256.01,Services
8/29/24,8/29/24,SKYLIGHT FRAME 4152336761 CAAPPLE PAY ENDING IN 7049,127.06,Services
8/29/24,8/29/24,SQ *JOY ICE CREAM SOCI MILWAUKEE WI0002305843020489168701,14.69,Supermarkets
8/30/24,8/30/24,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,15.6,Restaurants
8/30/24,8/30/24,NOODLES & CO 210 WAUWATOSA WI,43.92,Restaurants
8/31/24,8/31/24,COUSINS SUBS #1166 SLINGER WI,11.13,Restaurants
8/31/24,8/31/24,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,28.67,Supermarkets
9/1/24,9/1/24,TST*MISS MOLLYS CAFE & 414-249-5665 WIAPPLE PAY ENDING IN 704900037390019858796426AA,41.95,Restaurants
